hora y día cuando fue detectado el terremoto,lugar del epicentro,magnitud,la mayor intensidad sísmica,hora y día de la emisión,idcountry
2023/05/05 11:07,"Región Noto, Prefectura de Ishikawa",3.7,2,2023/05/05 11:09,2
2023/05/05 10:51,"Región Noto, Prefectura de Ishikawa",3.9,3,2023/05/05 10:54,2
2023/05/05 10:48,"Región Noto, Prefectura de Ishikawa",3.3,2,2023/05/05 10:51,2
2023/05/05 10:46,"Región Noto, Prefectura de Ishikawa",3.6,3,2023/05/05 10:49,2
2023/05/05 10:44,"Región Noto, Prefectura de Ishikawa",2.9,1,2023/05/05 10:47,2
2023/05/05 10:34,"Región Noto, Prefectura de Ishikawa",3.6,2,2023/05/05 10:38,2
2023/05/05 10:34,"Región Noto, Prefectura de Ishikawa",4.1,3,2023/05/05 10:37,2
2023/05/05 10:26,"Región Noto, Prefectura de Ishikawa",4.2,3,2023/05/05 10:30,2
2023/05/05 10:05,"Región Noto, Prefectura de Ishikawa",3.5,2,2023/05/05 10:12,2
2023/05/05 10:08,"Región Noto, Prefectura de Ishikawa",3.8,3,2023/05/05 10:11,2
2023/05/05 10:03,"Región Noto, Prefectura de Ishikawa",4.1,2,2023/05/05 10:07,2
2023/05/05 10:02,"Región Noto, Prefectura de Ishikawa",3.8,2,2023/05/05 10:05,2
2023/05/05 09:58,"Región Noto, Prefectura de Ishikawa",5.8,5+,2023/05/05 10:02,2
2023/05/05 09:38,Sudeste de Prefectura de Hyogo,2.7,2,2023/05/05 09:40,2
2023/05/05 09:34,Alta mar de Península de Noto,3.9,2,2023/05/05 09:37,2
2023/05/05 09:29,"Región Noto, Prefectura de Ishikawa",2.7,1,2023/05/05 09:31,2
2023/05/05 09:25,Alta mar de Prefectura de Iwate,4.5,3,2023/05/05 09:29,2
2023/05/05 06:30,"Región Noto, Prefectura de Ishikawa",2.8,1,2023/05/05 06:33,2
2023/05/05 06:22,"Región Noto, Prefectura de Ishikawa",3.4,2,2023/05/05 06:26,2
2023/05/05 06:15,"Región Noto, Prefectura de Ishikawa",2.9,1,2023/05/05 06:18,2
2023/05/05 06:11,"Región Noto, Prefectura de Ishikawa",2.2,1,2023/05/05 06:15,2
2023/05/05 05:46,"Región Noto, Prefectura de Ishikawa",3.5,2,2023/05/05 05:49,2
2023/05/05 05:38,"Región Noto, Prefectura de Ishikawa",4.3,3,2023/05/05 05:43,2
2023/05/05 05:31,"Región Noto, Prefectura de Ishikawa",2.4,1,2023/05/05 05:34,2
2023/05/05 05:01,Alta mar de Península de Noto,3.6,1,2023/05/05 05:03,2
2023/05/05 04:39,"Región Noto, Prefectura de Ishikawa",3.0,1,2023/05/05 04:41,2
2023/05/05 04:24,"Región Noto, Prefectura de Ishikawa",3.4,1,2023/05/05 04:26,2
2023/05/05 04:11,"Región Noto, Prefectura de Ishikawa",3.7,2,2023/05/05 04:13,2
2023/05/05 04:07,"Región Noto, Prefectura de Ishikawa",3.0,1,2023/05/05 04:09,2
2023/05/05 03:58,Alta mar de Península de Noto,2.5,1,2023/05/05 04:02,2
2023/05/05 03:48,"Región Noto, Prefectura de Ishikawa",3.0,1,2023/05/05 03:51,2
2023/05/05 03:41,"Región Noto, Prefectura de Ishikawa",3.3,2,2023/05/05 03:43,2
2023/05/05 03:32,Alta mar de Península de Noto,2.4,1,2023/05/05 03:35,2
2023/05/05 03:28,Alta mar de Península de Noto,3.2,1,2023/05/05 03:32,2
2023/05/05 03:27,"Región Noto, Prefectura de Ishikawa",2.6,1,2023/05/05 03:30,2
2023/05/05 03:14,"Región Noto, Prefectura de Ishikawa",3.6,2,2023/05/05 03:17,2
2023/05/05 03:06,Alta mar de Península de Noto,3.9,2,2023/05/05 03:09,2
2023/05/05 02:57,Alta mar de Península de Noto,3.6,2,2023/05/05 03:01,2
2023/05/05 02:53,"Región Noto, Prefectura de Ishikawa",4.7,4,2023/05/05 02:57,2
2023/05/05 02:51,"Región Noto, Prefectura de Ishikawa",3.8,1,2023/05/05 02:54,2
2023/05/05 02:47,"Región Noto, Prefectura de Ishikawa",4.0,3,2023/05/05 02:52,2
2023/05/05 02:42,"Región Noto, Prefectura de Ishikawa",6.3,6+,2023/05/05 02:46,2
2023/05/05 01:47,Norte de Prefectura de Ibaraki,3.3,1,2023/05/05 01:50,2
2023/05/04 23:24,Norte de Prefectura de Wakayama,2.4,1,2023/05/04 23:27,2
2023/05/04 11:01,Alta mar de Jyo-chuetsu de Prefectura de Niigata,3.8,1,2023/05/04 11:04,2
2023/05/04 07:51,Norte de Prefectura de Wakayama,2.6,1,2023/05/04 07:54,2
2023/05/02 17:34,Alta mar de Prefectura de Ibaraki,4.1,2,2023/05/02 17:38,2
2023/05/02 16:26,Mares cercanos de Islas Tokara,2.2,1,2023/05/02 16:30,2
2023/05/02 13:12,"Aizu, Prefectura de Fukushima",2.3,1,2023/05/02 13:15,2
2023/05/02 00:13,Mar de Hyuga,2.8,1,2023/05/02 00:16,2
2023/05/01 19:48,Alta mar de Prefectura de Miyagi,3.1,1,2023/05/01 19:50,2
2023/05/01 15:56,Alta mar de Prefectura de Fukushima,4.3,2,2023/05/01 15:59,2
2023/05/01 12:20,Alta mar de Prefectura de Fukushima,4.0,1,2023/05/01 12:24,2
2023/05/01 05:56,Mares cercanos de Islas Tokara,2.4,1,2023/05/01 05:59,2
2023/05/01 04:59,Mares cercanos de Isla principal de Okinawa,5.4,2,2023/05/01 05:03,2
2023/05/01 04:09,Mares cercanos de Islas Tokara,2.7,2,2023/05/01 04:13,2
2023/05/01 03:35,"Región Noto, Prefectura de Ishikawa",2.7,1,2023/05/01 03:38,2
2023/05/01 01:43,Mares cercanos de Isla principal de Okinawa,2.8,1,2023/05/01 01:46,2
2023/05/01 01:02,Mares cercanos de Isla principal de Okinawa,5.0,1,2023/05/01 01:06,2
2023/05/01 00:56,Mares cercanos de Islas Tokara,2.3,1,2023/05/01 01:01,2
2023/05/01 00:56,Alta mar de Prefectura de Fukushima,4.1,1,2023/05/01 00:59,2
2023/05/01 00:51,Mares cercanos de Isla principal de Okinawa,4.4,1,2023/05/01 00:55,2
2023/05/01 00:22,Mares cercanos de Isla principal de Okinawa,6.2,2,2023/05/01 00:26,2
2023/04/30 23:22,Mares cercanos de Isla principal de Okinawa,5.2,1,2023/04/30 23:27,2
2023/04/30 20:58,Alta mar de Uraga,4.3,2,2023/04/30 21:03,2
2023/04/30 20:51,Alta mar de Prefectura de Ibaraki,4.3,2,2023/04/30 20:55,2
2023/04/30 19:15,Norte de Prefectura de Tokushima,3.4,2,2023/04/30 19:18,2
2023/04/30 17:04,Alta mar de Prefectura de Ibaraki,4.2,3,2023/04/30 17:08,2
2023/04/30 16:58,Mares cercanos de Isla Chichishima,3.8,1,2023/04/30 17:03,2
2023/04/30 13:37,Mares cercanos de Islas de Amamioshima,3.3,2,2023/04/30 13:40,2
2023/04/30 11:48,Mares cercanos de Islas Tokara,2.4,1,2023/04/30 11:51,2
2023/04/30 09:21,Alta mar este de Prefectura de Chiba,4.2,1,2023/04/30 09:25,2
2023/04/30 08:36,"Aizu, Prefectura de Fukushima",2.3,2,2023/04/30 08:41,2
2023/04/30 06:52,"Este de Mino, Prefectura de Gifu",3.7,3,2023/04/30 06:55,2
2023/04/29 18:23,"Aizu, Prefectura de Fukushima",2.2,2,2023/04/29 18:27,2
2023/04/29 13:19,"Región Noto, Prefectura de Ishikawa",3.0,1,2023/04/29 13:22,2
2023/04/29 12:49,Mares cercanos de Isla principal de Okinawa,4.5,1,2023/04/29 12:53,2
2023/04/28 21:16,Mar de Amakusa,3.5,2,2023/04/28 21:18,2
2023/04/28 16:54,Norte de Prefectura de Tokushima,3.1,1,2023/04/28 16:57,2
2023/04/28 14:16,Mar de Amakusa,3.6,2,2023/04/28 14:19,2
2023/04/28 04:46,Alta mar de Uraga,4.1,1,2023/04/28 04:49,2
2023/04/28 01:49,Sur de Prefectura de Gunma,2.4,1,2023/04/28 01:52,2
2023/04/27 21:38,Oeste de región Oshima,3.0,3,2023/04/27 21:42,2
2023/04/27 19:09,Mares cercanos de Isla principal de Okinawa,4.3,2,2023/04/27 19:12,2
2023/04/27 10:43,Alta mar de Prefectura de Fukushima,4.2,2,2023/04/27 10:46,2
2023/04/27 04:43,Mares cercanos de Isla principal de Okinawa,5.4,2,2023/04/27 04:47,2
2023/04/26 22:40,Alta mar de Uraga,3.6,1,2023/04/26 22:43,2
2023/04/26 21:40,Alta mar de Prefectura de Ibaraki,3.1,1,2023/04/26 21:42,2
2023/04/26 16:17,Sur de Prefectura de Ibaraki,3.5,2,2023/04/26 16:20,2
2023/04/26 04:52,Alta mar de Uraga,3.9,1,2023/04/26 04:55,2
2023/04/25 14:49,Alta mar de Prefectura de Fukushima,4.3,2,2023/04/25 14:53,2
2023/04/25 10:32,Alta mar de Prefectura de Iwate,4.1,2,2023/04/25 10:36,2
2023/04/25 09:59,Norte de Prefectura de Wakayama,2.9,2,2023/04/25 10:03,2
2023/04/25 02:32,"Aizu, Prefectura de Fukushima",2.5,2,2023/04/25 02:35,2
2023/04/24 20:31,Mar de Hyuga,2.6,1,2023/04/24 20:34,2
2023/04/24 17:00,Carca de Indonesia,7.1,-,2023/04/24 17:32,2
2023/04/24 12:29,"Centro-Oeste de Mino, Prefectura de Gifu",2.6,1,2023/04/24 12:33,2
2023/04/24 05:36,Mar de Ariake,2.7,1,2023/04/24 05:39,2
2023/04/23 23:35,Norte de Prefectura de Wakayama,2.6,2,2023/04/23 23:38,2
2023/04/23 21:42,Pacífico Meridional,7.3,-,2023/04/23 22:03,2
2023/04/23 18:33,Mares cercanos de Isla Chichishima,4.3,2,2023/04/23 18:37,2
2023/04/23 18:22,"Nanyo, Prefectura de Ehime",3.6,1,2023/04/23 18:25,2
2023/04/23 13:09,Alta mar de Prefectura de Ibaraki,3.5,1,2023/04/23 13:13,2
2023/04/23 12:42,Alta mar de Prefectura de Miyagi,3.8,1,2023/04/23 12:46,2
2023/04/23 11:45,"Aizu, Prefectura de Fukushima",1.8,1,2023/04/23 11:48,2
2023/04/23 09:45,Norte de Prefectura de Wakayama,2.8,2,2023/04/23 09:48,2
2023/04/23 00:29,Norte de Prefectura de Okayama,2.7,1,2023/04/23 00:33,2
2023/04/22 08:54,"Región Noto, Prefectura de Ishikawa",2.5,2,2023/04/22 08:57,2
2023/04/22 07:42,Alta mar de Tomakomai,2.4,2,2023/04/22 07:45,2
2023/04/22 02:30,Alta mar de Prefectura de Ibaraki,3.4,2,2023/04/22 02:34,2
2023/04/21 22:41,Alta mar de Prefectura de Fukushima,4.2,2,2023/04/21 22:44,2
2023/04/21 13:10,Mares cercanos de Isla Ishigaki,4.4,1,2023/04/21 13:13,2
2023/04/21 09:43,Alta mar de Prefectura de Iwate,3.9,1,2023/04/21 09:46,2
2023/04/21 08:25,Alta mar de Prefectura de Miyagi,3.6,1,2023/04/21 08:28,2
2023/04/21 05:16,"Centro-Oeste de Mino, Prefectura de Gifu",3.2,2,2023/04/21 05:19,2
2023/04/21 04:20,Mares cercanos de Isla Chichishima,5.6,4,2023/04/21 04:23,2
2023/04/21 01:46,Sur de Prefectura de Nagano,1.5,1,2023/04/21 01:51,2
2023/04/20 15:07,Sur de Prefectura de Kioto,2.5,1,2023/04/20 15:10,2
2023/04/20 00:33,"Región Noto, Prefectura de Ishikawa",3.3,3,2023/04/20 00:36,2
2023/04/19 21:42,Mares cercanos de Isla Chichishima,4.4,1,2023/04/19 21:46,2
2023/04/19 14:23,Canal de Kii,2.8,1,2023/04/19 14:26,2
2023/04/18 21:37,"Región Noto, Prefectura de Ishikawa",3.2,1,2023/04/18 21:40,2
2023/04/18 09:56,Mares cercanos de Islas Tokara,2.0,1,2023/04/18 10:00,2
2023/04/18 05:03,Mares cercanos de Isla principal de Okinawa,3.2,1,2023/04/18 05:06,2
2023/04/17 02:36,Alta mar de Prefectura de Fukushima,3.5,1,2023/04/17 02:39,2
2023/04/16 19:16,Sur de Prefectura de Nagano,3.3,3,2023/04/16 19:20,2
2023/04/16 14:25,Alta mar de Prefectura de Fukushima,4.6,4,2023/04/16 14:29,2
2023/04/16 12:45,"Región Kumamoto, Prefectura de Kumamoto",3.5,3,2023/04/16 12:49,2
2023/04/16 08:48,Alta mar este de Península de Osumi,3.1,1,2023/04/16 08:51,2
2023/04/16 05:42,Mares cercanos de Islas Tokara,2.3,1,2023/04/16 05:45,2
2023/04/16 03:14,Canal de Kii,3.4,1,2023/04/16 03:17,2
