Hora y día cuando fue detectado el terremoto;Lugar del epicentro;Magnitud;La mayor intensidad sísmica;Hora y día de la emisión
2023/05/05 00:47;Región Noto, Prefectura de Ishikawa;4.0;3;2023/05/05 00:52
2023/05/05 00:42;Región Noto, Prefectura de Ishikawa;6.3;6+;2023/05/05 00:46
2023/05/04 23:47;Norte de Prefectura de Ibaraki;3.3;1;2023/05/04 23:50
2023/05/04 21:24;Norte de Prefectura de Wakayama;2.4;1;2023/05/04 21:27
2023/05/04 09:01;Alta mar de Jyo-chuetsu de Prefectura de Niigata;3.8;1;2023/05/04 09:04
2023/05/04 05:51;Norte de Prefectura de Wakayama;2.6;1;2023/05/04 05:54
2023/05/02 15:34;Alta mar de Prefectura de Ibaraki;4.1;2;2023/05/02 15:38
2023/05/02 14:26;Mares cercanos de Islas Tokara;2.2;1;2023/05/02 14:30
2023/05/02 11:12;Aizu, Prefectura de Fukushima;2.3;1;2023/05/02 11:15
2023/05/01 22:13;Mar de Hyuga;2.8;1;2023/05/01 22:16
2023/05/01 17:48;Alta mar de Prefectura de Miyagi;3.1;1;2023/05/01 17:50
2023/05/01 13:56;Alta mar de Prefectura de Fukushima;4.3;2;2023/05/01 13:59
2023/05/01 10:20;Alta mar de Prefectura de Fukushima;4.0;1;2023/05/01 10:24
2023/05/01 03:56;Mares cercanos de Islas Tokara;2.4;1;2023/05/01 03:59
2023/05/01 02:59;Mares cercanos de Isla principal de Okinawa;5.4;2;2023/05/01 03:03
2023/05/01 02:09;Mares cercanos de Islas Tokara;2.7;2;2023/05/01 02:13
2023/05/01 01:35;Región Noto, Prefectura de Ishikawa;2.7;1;2023/05/01 01:38
2023/04/30 23:43;Mares cercanos de Isla principal de Okinawa;2.8;1;2023/04/30 23:46
2023/04/30 23:02;Mares cercanos de Isla principal de Okinawa;5.0;1;2023/04/30 23:06
2023/04/30 22:56;Mares cercanos de Islas Tokara;2.3;1;2023/04/30 23:01
2023/04/30 22:56;Alta mar de Prefectura de Fukushima;4.1;1;2023/04/30 22:59
2023/04/30 22:51;Mares cercanos de Isla principal de Okinawa;4.4;1;2023/04/30 22:55
2023/04/30 22:22;Mares cercanos de Isla principal de Okinawa;6.2;2;2023/04/30 22:26
2023/04/30 21:22;Mares cercanos de Isla principal de Okinawa;5.2;1;2023/04/30 21:27
2023/04/30 18:58;Alta mar de Uraga;4.3;2;2023/04/30 19:03
