id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
18,8721,142345,227425,20798,336056,1,2020,2
19,15240,225885,542522,39285,573547,1,2020,2
20,25501,390777,605386,61006,928720,1,2020,2
21,36550,552460,970323,92804,1388553,1,2020,2
22,74077,1077972,5358792,176719,2581929,1,2020,2
23,214794,3101997,9429525,531116,7611451,1,2020,2
24,37069,533094,1442675,84247,1194882,1,2020,2
25,31209,414185,631259,71521,977764,1,2020,2
26,58799,816871,1448749,137953,1939984,1,2020,2
27,326503,3962086,10930508,715682,8872557,1,2020,2
28,160772,1935980,3513196,382758,4727684,1,2020,2
29,29642,380887,659381,71385,943342,1,2020,2
30,18310,253545,770429,42410,590586,1,2020,2
31,6375,86296,153941,17239,240016,1,2020,2
32,4784,68017,131675,13007,195064,1,2020,2
33,35894,507216,821011,93349,1286140,1,2020,2
34,66773,929193,1635738,178337,2422635,1,2020,2
35,30456,386675,622566,75656,967479,1,2020,2
36,14364,204510,790836,37601,532717,1,2020,2
37,21950,300575,778767,58826,797928,1,2020,2
38,23161,348440,960785,62327,900554,1,2020,2
39,13378,198859,715399,34699,504754,1,2020,2
40,163254,1916430,3473140,394586,4911186,1,2020,2
41,12733,156002,259711,30585,390149,1,2020,2
42,15909,207462,352377,40259,533239,1,2020,2
43,34410,478883,908376,91511,1324499,1,2020,2
44,21715,298807,804309,58016,780333,1,2020,2
45,18725,252317,674075,47993,646853,1,2020,2
46,29352,403678,732005,77675,1056011,1,2020,2
47,28908,419417,1156180,76998,1109302,1,2020,2
1,161069,1418760,3914928,350726,3045060,2,2020,2
2,37579,331743,907454,79424,694183,2,2020,2
3,33805,322471,835184,79019,746243,2,2020,2
4,81421,789428,3439754,207042,2002355,2,2020,2
5,29445,271417,705404,67870,622207,2,2020,2
6,28597,282548,679871,62033,604785,2,2020,2
7,56315,543898,2018684,133068,1284990,2,2020,2
8,87409,789450,5130267,198432,1766787,2,2020,2
9,59105,540563,1354481,135521,1242674,2,2020,2
10,52081,464762,1223794,122279,1094939,2,2020,2
11,220504,1854118,12355422,492840,4173656,2,2020,2
12,200824,1736628,13977760,442209,3823925,2,2020,2
13,277036,2398893,19462936,596121,5294714,2,2020,2
14,253584,2212870,17445602,529425,4669520,2,2020,2
15,47355,472675,1563914,119864,1204433,2,2020,2
16,27822,302405,863512,70074,765388,2,2020,2
17,31685,314974,939280,85353,853023,2,2020,2
18,25535,258448,744334,62907,638951,2,2020,2
19,29281,274105,1270775,73010,689927,2,2020,2
20,58394,628900,1573766,129186,1378564,2,2020,2
21,66349,627426,1920746,149183,1421675,2,2020,2
22,104655,967329,7556094,232615,2151651,2,2020,2
23,203570,1893995,9601231,463404,4346953,2,2020,2
24,53437,489798,2447638,113666,1027080,2,2020,2
25,46509,435779,1026251,95649,904612,2,2020,2
26,94086,796943,2193527,195125,1673879,2,2020,2
27,250593,1982568,8439536,491115,3938539,2,2020,2
28,123207,1101095,3045847,262384,2368078,2,2020,2
29,45405,409524,1158446,98428,900284,2,2020,2
30,33232,264617,1375286,71259,565969,2,2020,2
31,15651,149238,434125,39960,382871,2,2020,2
32,12452,126956,392003,33833,348136,2,2020,2
